id,restaurant_id,date,Review,Rating,Comments
,1,05/07/16,Decent food,4,"We found the food to be of a reasonable standard and would probably eat here again. I was disappointed MPW did not have my first choice of wine and we were offered an alternative. The table we were given was totally unsatisfactory, the 'walk in' table. The table was against a wall and next to the servers station. I asked..."
,1,05/07/16,“Spa day”,2,"Dreadful food, poor service. Really seemed as if no one knew what was going on. Not a fan of Wetherspoons but can say had much better there"
,1,05/07/16,“Excellent food and service ... definitely recommend.”,5,"We have dined here for leisure stays, invited colleagues for Business and had family and Christmas get-togethers here. The decor is amazing as are the finishing touches. The choice of food as well as the presentation is creative. They also have a brilliant wine cellar. This is definitely worth a first visit ... and you will be hooked!"
,1,05/07/16,“Did not deliver expectations. ”,3,"When we visit ""celebrity chef"" establishments we expect the extraordinary. Marco Pierre White Steakhouse and Bar at DoubleTree Chester did not deliver. OK, prices were reasonable but the menu and food were quite dull and lacking range of choice and imagination. The baked camembert was good as a share starter. The single saving grace was the professionalism and personability of..."
,1,05/07/16,“Fabulous food and excellent service”,5,"My daughter and I were staying at the Hilton Doubletree on a mid week break. We didn't know whether to stay in the Hotel to eat dinner or to travel into Chester. Because we were rather tired we decided to eat here, and we were so glad we did. I cannot imagine better food or better service. If you are..."
,1,05/07/16,“Very disappointed by the food and service ”,2,"My friend and I stayed at the spa here which was lovely and we booked to visit the restaurant. When we booked two weeks earlier, we had checked it had gluten and dairy free options for both of us and were reassured it did. The menu had no gluten or dairy free options at all and when I asked the..."
,1,05/07/16,“Great for Pale rubbish for vegetarians/vegans”,3,"Very dark gray decor, brooding. Service is good food options are fine if you like lots of meat. Easy to eat gluten/dairy free (small amount of fiddling needed ref sauces) not good if you're looking for a decent vegetarian or vegan meal or just want a variety of veggies with a meal."
,1,05/07/16,“Amazing food...”,5,Had a lovely meal with the husband here. Staff were very friendly and always there to top up wine and water. Food was delicious and not too badly priced either. Had some lovely cocktails after too....highly recommend!!
,1,05/07/16,“Birthday meal”,5,Delish food and excellent service - Phillip is a credit to the restaurant - friendly and professional! Can't wait to visit more MPW restaurants! Make sure you try the cocktails!
,1,05/07/16,“Not good customer service!”,1,"As we had booked a room at the hotel, I phoned the restaurant a few weeks prior, and a very nice gentleman took my table reservation and contact details. Just happened to mention to hotel receptionist on arrival that we'd booked a table at MPW and she informed us restaurant was closed on Sundays. Whoops! Very disappointing!!"
,2,05/07/16,“An excellent companion to a superb hotel”,5,"The meal for two was excellent. Great service from attentive staff. The food was as expected, top drawer. However I have to say the 'nibbles' (as per the menu) were very over priced for what they consisted of. A shame as the mains were spot on!"
,2,05/07/16,“Birthday lunch was ruined by staff setting up & overcooked steak”,2,"I booked a table for 12:30pm to celebrate my father in laws 84th birthday.We were seated in the middle of the restaurant, right by the kitchen door. We were the only people in the restaurant and subsequently staff were coming and going, counting crockery and cutlery constantly to an extent where we couldn't hear ourselves speak. I spoke to the..."
,2,05/07/16,“Below average food and terrible service”,2,"We had dinner at this restaurant as part of an overnight stay due to a delayed flight. On arriving at the restaurant we were thus presented with a ""flight delay menu"". I don't know if this was the reason for the overall disappointing experience that was to follow. In any case it took 25 minutes until someone took our drink..."
,2,05/07/16,“Meeting Marco fabulous food and company”,5,I booked a treat for my daughters birthday a book signing and meal at the Marco Pierre White restaurant. Freya greeted us and handed us a glass of fizz. Maya and Angie were our servers and they are brill nothing was too much trouble. The meal itself was fab my steak was perfect and the pork belly was amazing. They...
,2,05/07/16,“Such a friendly place”,4,Had supper here followed by breakfast. Very busy at night but we had attentive and friendly service throughout and the food was tasty. Next morning it was more of the same. Lots of great staff who were bringing atmosphere as well as decent service. It felt like a fun place to work with a good team. Nice to see the...
,2,05/07/16,“Birthday Meal”,5,I took my husband up for his birthday - it wasn't a special age but the staff gave us a lovely corner table and decorated it. The food was stunning and the service faultless. At the end of the evening they brought my husband a small cake for his birthday. Extra touches that make a difference to the experience
,2,05/07/16,“Marco Pierre White book signing evening”,5,We visited the Marco Pierre White book signing evening last night and had a very enjoyable evening. We were given Prosecco upon arrival and the restaurant had a wonderful atmosphere. The staff were very friendly and professional and the food was of a fantastic quality- as we expected. The mackerel as a starter exceeded expectations and both the brownie and...
,2,05/07/16,“1st Father's Day - just ok”,3,"Came here for a surprise 1st Father's Day Sunday lunch. 3 courses for £25 with a free beer. Being a Marco Pierre White restaurant it had the expected decor - slightly opulent and adorned with large photos of the famous chef but lacked any real personality. The food was good - a decent chicken and mushroom parfait, roast (beef for..."
,2,05/07/16,“Good food... Great service”,4,Visited this weekend for a family lunch. We had a great table overlooking the gardens and really enjoyed our visit. We had three courses from the set menu and all of us had good food. Thanks to the staff especially Ang who made our trip memorable... Thanks from Will for the extra Yorshire pudding and thanks for me for the...
,2,05/07/16,“Was expecting better”,2,The steak was cooked perfectly. Also the pork belly. Unfortunately the sauces were bland. I've had better. The waiters were very nice but why 4 of them? Badly run restaurant. Inattentive. Slow service. Didn't like the tip automatically added to the bill. Was expecting much much more from a TV chef.
,3,05/07/16,“Gorgeous steak for anniversary meal”,3,"Went to Liverpool for our anniversary and chose Marco Pierre White for a romantic meal. The food was lovely, we said we were going to skip starters, but when the waitress came she recommended we share a starter like Camembert as our main meal would take 40+ minutes to cook, so we did. For our mains we had the Chateaubriand..."
,3,05/07/16,“Excelled themselves yet again!”,5,"What can I say?! Yet again we had the most amazing dining experience eating at Marco Pierre White's in Liverpool, and yet again it was down to the incredible food and wonderful staff. The warmth and openness expressed by everyone concerned is something you rarely see these days and is testament to the individuals as people, rather than company policies..."
,3,05/07/16,“Anniversary meal”,5,Booked on the day via website which was easy and relieved a call confirming the reservation. The restaurant has recently been refurbished and no expense has been spared. From the moment we arrived service was spot on. The staff were attentive and clearly had pride in their work and the food and wine being served. The food was out of...
,3,05/07/16,“Most amazing food”,5,"I wasn't holding out too much hope to be honest, thought it would be just like any other steakhouse but O..M...G....The food was amazing. There were 8 of us in our party. service was quick and we all ordered different things. The food was out of this world. It didn't look huge on the plate but it was so rich..."
,3,05/07/16,“Best way to celebrate my 18th!”,5,"Got brought here as a surprise for my 18th, as soon as we came through the hotel to the restaurant we had our jackets checked into the cloakroom and invited to the bar for a drink while we waited for our table and it got put into our tab. Once we got shown to our table we were offered another..."
,3,05/07/16,“Fantastic Food”,4,"I visited MPW for the first time this weekend following it's recent refurbishment. The restaurant it's self was lovely, the staff were great and helpful and the food was fantastic ! The host who greeted us was friendly and welcoming. The staff knew a lot about the menu and made some good recommendations. A big shame that the bartender with..."
,3,05/07/16,“Afternoon tea”,5,Came here for a treat with my mum. The hotel has been refurbished and looks lovely. The staff very friendly and very comfortable surroundings. Well worth a visit
,3,05/07/16,“A treat”,5,"This restaurant is inside the Indigo hotel, we were the first to eat in it after its refurbishment, a fantastic ambience,wonderful wine and food,excellent waiter service from a polite,pleasant young man called Silviu. A wonderful experience with excellent food. The prices are on the expensive side costing us £90 for two coarses with a glass of wine but so worth..."
,3,05/07/16,“Fabulous Sunday lunch! ”,5,We visited as a large family group after my sons communion. The service was great and the food was worth every penny of the £19.95 per head. I wouldn't bother cooking Sunday lunch again for that price and will look forward to returning again. Keep up the good work.
,3,05/07/16,“Daughters 18th surprise meal ”,5,Contacted and booked a table through email and was constantly in touch with Chris who helped surprise my daughter for her 18th with her partner. Who went above and beyond. I was in Glasgow so he did a great job very pleased asked what I would like and it was done. My daughter had a great night was looked after...
,4,05/07/16,"“Good, but a missed opportunity.”",4,"Six of us came here for a late lunch after my daughter's graduation. It's a pleasant location, even if you don't pay extra for the window tables, but the atmosphere is rather understated; laid back you might say. The service is laid back too - it's not exactly slow, but they certainly leave a gap between visits, so be careful..."
,4,05/07/16,“Disappointing afternoon tea at the Cube”,2,"After being invited to afternoon tea at the Cube by a friend, I came away with mixed feelings. On arrival we did not feel welcomed, just shown to our table without any courtesy even though the restaurant was not busy. On entry, we appreciated the pleasant ambience of the décor and the spectacular views of Birmingham. So, we were looking..."
,4,05/07/16,“Disappointing”,2,"Poor service, generally average food and an overpriced experience not worth having... Very gauche, selling itself on one mans ego but with not much to show for it. I ordered a rare steak which they brought as a well done steak. When I questioned it to the head waiter she just returned it to me and started to argue about..."
,4,05/07/16,“Birthday Afternoon Tea”,3,Four of us went for afternoon tea as a surprise for a friends 40th. It was very nice although it wasn't as polished as I would have expected. The sandwiches were quite large - a bonus on one hand but we were expecting delicate sandwiches. The cakes were also quite large and not overly amazing. The Victoria sponge cream was...
,4,05/07/16,“Disappointing ”,2,"We came for afternoon tea, the view from the top of the cube was fantastic, lovely room and we enjoyed seeing different areas of the city. Unfortunately, the overall afternoon tea experience was really disappointing and the service non existent. Communication was a little frustrating with promised items not appearing and needing repeated trips to the bar area to chase..."
,4,05/07/16,“Glorified McDonald's ”,1,The views are good but the food is not. It's greasy and not very tasty. I also ordered an orange juice and it was straight from a cheap carton of juice. I'd expect better given the price and brands of the place. Overpriced and overrated.
,4,05/07/16,“Poor quality meat and mediocre cooking”,2,"Ignore the high profile name, which seems to be simply an excuse to charge even higher prices than you would expect for what you receive. My sirloin steak was appalling, both in terms of the actual meat quality (I'm thinking I would find better from the cheapest of budget supermarkets) and the actual cooking of it. In fact it was..."
,4,05/07/16,“Anniversary meal”,5,Me and my wife went to MPW. For our wedding anniversary meal. The table was book 8.30 our server was Anastasia. She was very helpful. And kept us topped up with our wine efficiently.. our food came I had the 8oz fillet steak and my wife had 10oz sirloin. I have my steak medium rare and I have to say...
